name	address	prefecture	phone	flag1	flag2	flag3	flag4	flag5	flag6	flat7	flag8	frozen_egg	frozen_preg	frozen_birth	frozen_rate	frozen_rate2	clinic_url	longitude	latitude	reliability_range	reliability_range_per
医療法人　あべウイメンズクリニック	福島県郡山市富久山町久保田字伊賀河原6-1	福島県	249234188	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	38	14	11	3	28.94736842	http://www.abe-wclinic.jp	140.371948	37.413582	0.14419789	14.419789
医療法人 いわき婦人科	福島県いわき市内郷綴町大木下3-2	福島県	246272885	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	154	65	42	27	27.27272727		140.857407	37.035275	0.07034102	7.034102
那須赤十字病院	栃木県大田原市中田原１０８１番地４（大田原郵便局私書箱第１５号）	栃木県	287231122	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	73	13	5	7	6.849315068	https://www.nasu.jrc.or.jp	140.036987	36.88142	0.05794437	5.794437
医療法人社団平成会　平尾産婦人科医院	栃木県宇都宮市鶴田3-1-4	栃木県	286485222	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	0	0	0	40	#DIV/0!	http://www.hirao.jp	139.849442	36.563477	#DIV/0!	#DIV/0!
群馬大学医学部附属病院	群馬県前橋市昭和町３丁目３９－２２	群馬県	272207111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	50	12	4	8	8		139.061523	36.406128	0.07519864	7.519864
医療法人愛弘会　横田マタニティーホスピタル	群馬県前橋市下小出町1-5-22	群馬県	272344135	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	116	46	36	31	31.03448276	https://repro.yokotamaternity.com	139.067459	36.407722	0.08419093	8.419093
獨協医科大学埼玉医療センター	埼玉県越谷市南越谷２丁目１－５０	埼玉県	489652028	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	234	90	66	28	28.20512821		139.789307	35.878487	0.05765791	5.765791
医療法人慈桜会瀬戸病院	埼玉県所沢市金山町8-6	埼玉県	429220221	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	210	70	55	26	26.19047619	https://www.seto-hospital.or.jp/	139.46051	35.789352	0.05946677	5.946677
永井マザーズホスピタル	埼玉県三郷市上彦名607-1	埼玉県	489591311	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	90	43	32	36	35.55555556	https://www.nagai-cl.com	139.862274	35.851929	0.09889658	9.889658
埼玉医科大学病院	埼玉県入間郡毛呂山町大字毛呂本郷３８	埼玉県	492761111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	78	11	10	13	12.82051282	https://www.saitama-med.ac.jp/hospital/division/33gynecology/index.html	139.304062	35.936001	0.07419397	7.419397
さくらレディースクリニック	埼玉県所沢市くすのき台3-1-1 角三上ビル2F	埼玉県	429920371	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	131	49	37	28	28.24427481	https://www.sakura-lc.jp/	139.476593	35.786949	0.07709282	7.709282
ソフィア祐子レディースクリニック	埼玉県川口市西川口1-26-4　上新建業ビル3F	埼玉県	482537877	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	37	4	3	8	8.108108108	https://www.ivfysatolc.jp/	139.703644	35.814137	0.08795359	8.795359
医療法人夢乃樹会ウィメンズクリニックふじみ野	埼玉県富士見市ふじみ野西1-17-3 ハピネスビルふじみ野2F・3F	埼玉県	492938210	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	511	236	172	34	33.65949119	http://www.wcf-reproduction.com/	139.520065	35.859352	0.04097215	4.097215
東京歯科大学市川総合病院	千葉県市川市菅野５丁目１１－１３	千葉県	473220151	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	171	29	21	13	12.28070175	https://www.tdc.ac.jp/igh/tabid/734/Default.aspx	139.921616	35.732296	0.04919457	4.919457
加藤レディスクリニック	東京都新宿区西新宿7-20-3	東京都	333661060	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	3634	1765	1379	38	37.94716566	https://www.towako-kato.com/	139.695267	35.693817	0.01577735	1.577735
田園都市レディースクリニック二子玉川	東京都世田谷区玉川2-24-24　セゾン玉川５階	東京都	337072455	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	74	33	20	27	27.02702703	https://www.denentoshi-lady.com/futagotamagawa/	139.628204	35.613747	0.10118599	10.118599
東京大学医学部附属病院	東京都文京区本郷７丁目３－１	東京都	338155411	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	92	36	25	27	27.17391304	https://www.h.u-tokyo.ac.jp/	139.763214	35.714146	0.09090374	9.090374
医療法人社団暁慶会　はらメディカルクリニック	東京都渋谷区千駄ヶ谷5-8-10	東京都	333564211	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	444	162	123	28	27.7027027	https://www.haramedical.or.jp/	139.705765	35.682022	0.04162811	4.162811
浅田レディース品川クリニック	東京都港区港南2-3-13　品川フロントビル3F	東京都	334722203	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	507	194	132	26	26.03550296	https://shinagawa-asada.jp/	139.743881	35.629086	0.03819854	3.819854
杉山産婦人科丸の内	東京都千代田区丸の内1-6-2新丸の内センタービル5F	東京都	352221500	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	1976	772	539	27	27.27732794	https://www.sugiyama.or.jp/marunouchi/	139.766266	35.683708	0.01963805	1.963805
Shinjuku ART Clinic	東京都新宿区西新宿住友不動産新宿オークタワー３階	東京都	353245577	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	251	127	103	41	41.03585657	https://www.shinjukuart.com	139.687622	35.687538	0.06085482	6.085482
幸町IVFクリニック	東京都府中市府中町1-18-17　コンテント府中1階、2階	東京都	423650341	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	188	39	30	25	15.95744681	https://www.saiwaicho.com	139.481018	35.674416	0.05234901	5.234901
東京慈恵会医科大学附属病院	東京都港区西新橋３丁目１９－１８	東京都	334331111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	198	78	52	26	26.26262626	https://www.hosp.jikei.ac.jp/	139.751434	35.663685	0.0612966	6.12966
（医）向仁会　真島クリニック	東京都足立区関原1-21-2	東京都	338494127	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	35	8	6	17	17.14285714	https://www.majima-cl.jp/	139.788055	35.764233	0.12486152	12.486152
医療法人社団　愛慈会　松本レディースリプロダクションオフィス	東京都豊島区東池袋1-41-7池袋東口ビル7F	東京都	369072555	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	549	289	169	31	30.78324226	http://matsumoto-ladies.com	139.712708	35.7314	0.03861293	3.861293
医療法人社団輝翠会 峯レディースクリニック	東京都目黒区自由が丘2-10-4ミルシェ自由が丘４階	東京都	357318161	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	297	139	101	34	34.00673401	https://www.mine-lc.jp/	139.668213	35.608253	0.05387783	5.387783
医療法人愛育会　愛育レディーズクリニック	神奈川県大和市南林間2-13-3	神奈川県	462773316	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	68	28	22	32	32.35294118	https://www.aiikucl.jp/	139.445526	35.494949	0.11119441	11.119441
田園都市レディースクリニック	神奈川県横浜市青葉区あざみ野1-5-1	神奈川県	459055524	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1169	558	413	35	35.32934132	https://www.denentoshi-lady.com/	139.554352	35.570305	0.02740124	2.740124
医療法人社団三成会　新百合ヶ丘総合病院	神奈川県川崎市麻生区古沢	神奈川県	443229991	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	184	62	42	23	22.82608696	https://www.shinyuri-hospital.com	139.496689	35.603786	0.06064544	6.064544
医療法人社団福順会　福田ウイメンズクリニック	神奈川県横浜市戸塚区品濃町549-2三宅ビル7F	神奈川県	458255525	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	162	71	48	30	29.62962963	https://fukuda-wclinic.com/	139.558701	35.431164	0.07031639	7.031639
社会福祉法人　恩賜財団　済生会支部 神奈川県済生会横浜市東部病院	神奈川県横浜市鶴見区下末吉３丁目６－１	神奈川県	455763000	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	53	20	13	25	24.52830189	https://www.tobu.saiseikai.or.jp/	139.674911	35.523926	0.1158361	11.58361
医療法人社団　ロイヤルハートクリニック	新潟県新潟市中央区天神尾１丁目17番5号	新潟県	252441122	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	53	17	12	23	22.64150943	https://www.royal-heart-clinic.com/index1.html	139.054916	37.907864	0.11267429	11.267429
女性クリニックWe富山	富山県富山市根塚町1-5-1	富山県	764935580	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	122	16	14	12	11.47540984	https://we-toyama.jp/	137.204987	36.67445	0.05655776	5.655776
医療法人社団康仁会　金沢たまごクリニック	石川県金沢市諸江町中丁327番1	石川県	762373300	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	356	121	85	24	23.87640449		136.644104	36.598358	0.04428689	4.428689
福井大学医学部附属病院	福井県吉田郡永平寺町松岡下合月２３－３	福井県	776613111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	37	10	4	11	10.81081081	https://www.hosp.u-fukui.ac.jp/	136.292068	36.109547	0.10005538	10.005538
国立大学法人山梨大学医学部附属病院	山梨県中央市下河東１１１０	山梨県	552731111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	245	93	71	29	28.97959184	https://www.hosp.yamanashi.ac.jp/	138.538177	35.6092	0.05680816	5.680816
JA長野厚生連　南長野医療センター篠ノ井総合病院	長野県長野市篠ノ井会666番地1	長野県	262922261	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	84	27	18	21	21.42857143	https://shinonoi-ghp.jp/	138.149292	36.575462	0.08774964	8.774964
医療法人登誠会諏訪マタニティークリニック	長野県諏訪郡下諏訪町１１２番地１３	長野県	266286100	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	301	156	124	41	41.19601329	http://temporary.e-smc.jp/info/	138.079254	36.078316	0.05560371	5.560371
医療法人佐久平リプロダクションセンター　佐久平エンゼルクリニック	長野県佐久市長土呂１２１０−１	長野県	267675816	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	457	175	129	28	28.22757112	https://www.sakudaira-angel-clinic.jp/	138.461136	36.284389	0.04126801	4.126801
わかばレディス＆マタニティ　クリニック	長野県松本市浅間温泉1-24-5	長野県	263450103	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	58	25	16	28	27.5862069	https://www.wakaba-lc.jp	137.984894	36.260216	0.11502672	11.502672
佐久市立国保浅間総合病院	長野県佐久市岩村田１８６２－１	長野県	267672295	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	76	24	23	30	30.26315789		138.469162	36.27058	0.10328507	10.328507
医療法人社団　古田産科婦人科クリニック	岐阜県岐阜市金町7-3	岐阜県	582652395	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	21	5	3	14	14.28571429		136.757019	35.413013	0.1496663	14.96663
クリニックママ	岐阜県大垣市今宿3-34-1	岐阜県	584735111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	154	83	63	76	40.90909091	http://climama.jp	136.636612	35.365562	0.07765438	7.765438
菊池レディースクリニック	静岡県静岡市葵区追手町2-12静岡安藤ハザマビル９階	静岡県	542724124	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	107	61	45	42	42.05607477	https://kikuchi-lc.com/	138.385635	34.97514	0.0935368	9.35368
ロイヤルベルクリニック	愛知県名古屋市緑区水広1-1715	愛知県	528796673	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	174	79	67	39	38.50574713	https://www.royalbell.jp/art/	136.993851	35.082016	0.07230386	7.230386
医療法人双葉会　ふたばクリニック	愛知県半田市吉田町6-82	愛知県	569205000	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	19	6	6	32	31.57894737		136.894226	34.892632	0.20901284	20.901284
さわだウィメンズクリニック	愛知県名古屋市千種区四谷通1-18-1 RICCA 11 ビル３階	愛知県	527883588	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	237	83	63	27	26.58227848		136.964157	35.162178	0.05624429	5.624429
小牧市民病院	愛知県小牧市常普請１丁目２０	愛知県	568764131	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	59	18	13	22	22.03389831	https://www.komakihp.gr.jp	136.917191	35.287514	0.10576175	10.576175
名古屋大学医学部附属病院	愛知県名古屋市昭和区鶴舞町６５番地	愛知県	527412111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	119	10	7	6	5.882352941	https://www.med.nagoya-u.ac.jp/hospital/	136.921539	35.157745	0.04227598	4.227598
浅田レディース勝川クリニック	愛知県春日井市松新町1-4　ルネック5F	愛知県	568352203	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	970	326	191	20	19.69072165	https://ivf-asada.jp/	136.955719	35.230465	0.02502556	2.502556
なごやARTクリニック	愛知県名古屋市中村区太閤１丁目２０番９号　Ｌ’ＥＮＶＯＬ　ＭＥＩＥＫＩ　３階	愛知県	524511103	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	186	92	63	50	33.87096774	https://nagoya-art.jp/	136.880386	35.166542	0.06801575	6.801575
豊橋市民病院	愛知県豊橋市青竹町字八間西５０	愛知県	532336111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	34	14	13	38	38.23529412	https://www.municipal-hospital.toyohashi.aichi.jp/	137.348907	34.760651	0.16334996	16.334996
浅田レディース名古屋駅前クリニック	愛知県名古屋市中村区名駅4-6-17 名古屋ビルディング3階	愛知県	525512203	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1545	570	337	22	21.81229773	https://ivf-asada.jp/	136.884796	35.171112	0.02059263	2.059263
おかだウィメンズクリニック	愛知県名古屋市中区正木4-8-7れんが橋ビル3階	愛知県	526830018	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	189	87	63	33	33.33333333	https://okada-w.com	136.898865	35.143017	0.06720768	6.720768
おち夢クリニック名古屋	愛知県名古屋市中区丸の内3-19-12　久屋パークサイドビル8F	愛知県	529682203	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	234	131	87	37	37.17948718	https://www.art-ochi.com/	136.907501	35.17445	0.0619228	6.19228
医療法人成田育成会　成田産婦人科	愛知県名古屋市中区大須１−２０−３０	愛知県	522211595	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	812	329	231	28	28.44827586	https://www.narita-hospital.or.jp	136.897034	35.16058	0.03103245	3.103245
医療法人　西山産婦人科	三重県津市栄町4丁目72	三重県	592291200	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	83	38	34	41	40.96385542	https://www.nycl.jp/	136.512543	34.736534	0.10579775	10.579775
ヨナハレディースクリニック	三重県桑名市和泉イノ割２１９	三重県	594271703	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	110	51	39	35	35.45454545	https://yonaha.or.jp/lc/index.html	136.685211	35.044388	0.08939815	8.939815
みのうらレディースクリニック	三重県鈴鹿市磯山3-9-17	三重県	593800018	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	278	155	126	45	45.32374101	https://www.minouralc.com	136.570984	34.816666	0.05851887	5.851887
清水産婦人科	滋賀県草津市野村3-18-5	滋賀県	775624332	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	106	50	41	38	38.67924528	https://www.shimizu-lc.jp/	135.949112	35.025551	0.09271412	9.271412
医療法人田村秀子婦人科医院	京都府京都市中京区御所八幡町229	京都府	752130523	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	101	49	42	42	41.58415842	https//:tamura-hideko.com	135.762817	35.011021	0.09612241	9.612241
地方独立行政法人大阪府立病院機構　大阪急性期・総合医療センター	大阪府大阪市住吉区万代東３丁目１－５６	大阪府	666921201	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	88	14	11	13	12.5	http://www.gh.opho.jp/index.php	135.503952	34.616692	0.06909932	6.909932
医療法人正育会　春木レディースクリニック	大阪府大阪市中央区南船場4-3-2 ヒューリック心斎橋ビル7階	大阪府	662813788	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	446	204	153	34	34.30493274	http://haruki-cl.com/	135.500137	34.676556	0.04405887	4.405887
医療法人天の川レディースクリニック	大阪府交野市私部西2-3-25	大阪府	728921124	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	605	267	209	35	34.54545455	http://amanogawa-ivf.com/	135.67572	34.785515	0.03789167	3.789167
医療法人聖誕会　うめだファティリティークリニック	大阪府大阪市北区豊崎3-17-6	大阪府	663710363	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	788	175	93	12	11.80203046		135.497299	34.709988	0.02252686	2.252686
医療法人三慧会HORACグランフロント大阪クリニック	大阪府大阪市北区大深町3-1グランフロント大阪タワーB15階	大阪府	663778824	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	374	141	16	4	4.278074866	https://www.ivfhorac.com/	135.494339	34.705833	0.02050927	2.050927
医療法人天の川レディースクリニック　ひらかた院	大阪府枚方市大垣内町2-17-13　枚方洛元ビル３F	大阪府	728044124	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	114	54	63	55	55.26315789	https://hirakata-art.com/	135.653809	34.814564	0.09127549	9.127549
医療法人イワサクリニック	大阪府枚方市香里園町9-22	大阪府	728311666	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	159	54	39	25	24.52830189		135.632431	34.785618	0.06687801	6.687801
山下レディースクリニック	兵庫県神戸市中央区磯上通7-1-8	兵庫県	782656476	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	218	116	83	38	38.0733945	https://ylc.jp/	135.19722	34.691521	0.06445806	6.445806
神戸元町夢クリニック	兵庫県神戸市中央区明石町44 神戸御幸ビル3階	兵庫県	783252121	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	241	123	89	37	36.92946058	https://www.yumeclinic.or.jp	135.191284	34.68877	0.06093226	6.093226
医療法人授幸会久永婦人科クリニック	奈良県奈良市西大寺東町2-1-63 サンワシティ西大寺３F	奈良県	742325505	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	209	69	52	25	24.88038278	http://www.hisanaga-cl.com	135.783539	34.694023	0.05861222	5.861222
ミオ・ファティリティ・クリニック	鳥取県米子市車尾南2-1-1	鳥取県	859355211	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	258	102	75	74	29.06976744	https://www.mfc.or.jp	133.360931	35.427834	0.0554093	5.54093
タグチIVFレディースクリニック	鳥取県鳥取市覚寺63番地6	鳥取県	857392121	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	107	49	37	35	34.57943925	https://taguchi-ivf.or.jp/	134.228882	35.520824	0.09012189	9.012189
岡山二人クリニック　	岡山県岡山市北区津高	岡山県	862567717	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	647	306	189	30	29.21174652		133.919113	34.696552	0.03503993	3.503993
倉敷成人病クリニック	岡山県倉敷市白楽町250-1	岡山県	864222115	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	246	93	74	30	30.08130081	https://www.fkmc.or.jp	133.764633	34.587917	0.05731041	5.731041
岡山大学病院	岡山県岡山市北区鹿田町２丁目５番１号	岡山県	862237151	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	23	13	5	21	21.73913043	https://www.okayama-u.ac.jp/user/hospital/	133.920837	34.65099	0.16857205	16.857205
医療法人絹谷産婦人科	広島県広島市中区本通8-23本通ヒルズ4階	広島県	822476399	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	778	298	228	30	29.3059126	https://www.kinutani.org/	132.458817	34.393097	0.0319842	3.19842
広島中央通り　香月産婦人科	広島県広島市中区三川町7-1 香月メディカルビル5F	広島県	825462557	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	128	53	37	29	28.90625	http://uketuke5f@katsuki-medical.com	132.462143	34.389839	0.0785349	7.85349
IVFクリニックひろしま	広島県広島市南区松原町5番1号　BIG FRONTひろしま４階	広島県	822641131	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	154	60	51	33	33.11688312	http://www://ivf-hiroshima.jp	132.474686	34.395699	0.07433249	7.433249
地域医療機能推進機構　徳山中央病院	山口県周南市孝田町１－１	山口県	834284411	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	60	12	8	13	13.33333333	https://tokuyama.jcho.go.jp	131.83287	34.047676	0.08601533	8.601533
中山産婦人科小児科	徳島県板野郡藍住町東中富字長江傍示5-6	徳島県	886920333	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	91	32	21	23	23.07692308	https://www.nakayamaobgyn.jp	134.477249	34.128536	0.08656706	8.656706
独立行政法人労働者健康安全機構　愛媛労災病院	愛媛県新居浜市南小松原町１３－２７	愛媛県	897336191	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	11	3	2	18	18.18181818		133.291885	33.974522	0.22793095	22.793095
医療法人ヒューマンリプロダクション つばきウイメンズクリニック	愛媛県松山市北土居五丁目11番7号	愛媛県	899051122	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	464	170	108	23	23.27586207	http://www.tsubaki-wc.com	132.779343	33.807865	0.03845174	3.845174
医療法人　ハートレディースクリニック	愛媛県東温市野田2-100-1	愛媛県	899550082	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	48	17	11	64	22.91666667	http://hlc.d.dooo.jp/	132.837997	33.794518	0.11890262	11.890262
医療法人社団高邦会高木病院	福岡県大川市酒見141-11	福岡県	944870001	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	241	89	71	30	29.46058091	https://takagi.kouhoukai.or.jp/	130.379257	33.207043	0.05755514	5.755514
いでウイメンズクリニック	福岡県久留米市天神町4-1	福岡県	942331114	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	124	52	38	30	30.64516129	http://www.ide-woman.com	130.522232	33.312923	0.08114552	8.114552
谷口眼科婦人科	佐賀県武雄市武雄町武雄385-2	佐賀県	954233170	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	116	57	44	38	37.93103448	https://eiseikai-artclinic.com	129.992661	33.187374	0.0883002	8.83002
医療法人社団ソフィア愛育会　ソフィアレディースクリニック水道町	熊本県熊本市中央区水道町9-5-1	熊本県	963222996	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	227	102	82	36	36.12334802	https://www.suidouchou-lc.jp/	130.714096	32.802574	0.06248967	6.248967
ART女性クリニック	熊本県熊本市中央区神水本町	熊本県	963603670	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	309	118	77	25	24.91909385	http://art-kumamoto.com	130.741684	32.781807	0.04822894	4.822894
セント・ルカ産婦人科	大分県大分市東大道1丁目4番5号	大分県	975471234	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	172	67	50	29	29.06976744		131.60405	33.233017	0.06786226	6.786226
